time,ax,ax1
09:09:00,549,1098
09:09:30,549.5,1099
09:10:00,550,1100
09:10:30,550.5,1101
09:11:00,551,1102
09:11:30,551.5,1103
09:12:00,552,1104
09:12:30,552.5,1105
09:13:00,553,1106
09:13:30,553.5,1107
09:14:00,554,1108
09:14:30,554.5,1109
09:15:00,555,1110
09:15:30,555.5,1111
09:16:00,556,1112
09:16:30,556.5,1113
09:17:00,557,1114
09:17:30,557.5,1115
09:18:00,558,1116
09:18:30,558.5,1117
09:19:00,559,1118
09:19:30,559.5,1119
09:20:00,560,1120
09:20:30,560.5,1121
09:21:00,561,1122
09:21:30,561.5,1123
09:22:00,562,1124
09:22:30,562.5,1125
09:23:00,563,1126
09:23:30,563.5,1127
09:24:00,564,1128
09:24:30,564.5,1129
09:25:00,565,1130
09:25:30,565.5,1131
09:26:00,566,1132
09:26:30,566.5,1133
09:27:00,567,1134
09:27:30,567.5,1135
09:28:00,568,1136
09:28:30,568.5,1137
09:29:00,569,1138
09:29:30,569.5,1139
09:30:00,570,1140
09:30:30,570.5,1141
09:31:00,571,1142
09:31:30,571.5,1143
09:32:00,572,1144
09:32:30,572.5,1145
09:33:00,573,1146
09:33:30,573.5,1147
09:34:00,574,1148
09:34:30,574.5,1149
09:35:00,575,1150
09:35:30,575.5,1151
09:36:00,576,1152
09:36:30,576.5,1153
09:37:00,577,1154
09:37:30,577.5,1155
09:38:00,578,1156
09:38:30,578.5,1157
09:39:00,579,1158
09:39:30,579.5,1159
09:40:00,580,1160
09:40:30,580.5,1161
09:41:00,581,1162
09:41:30,581.5,1163
09:42:00,582,1164
09:42:30,582.5,1165
09:43:00,583,1166
09:43:30,583.5,1167
09:44:00,584,1168
09:44:30,584.5,1169
09:45:00,585,1170
09:45:30,585.5,1171
09:46:00,586,1172
09:46:30,586.5,1173
09:47:00,587,1174
09:47:30,587.5,1175
09:48:00,588,1176
09:48:30,588.5,1177
09:49:00,589,1178
09:49:30,589.5,1179
09:50:00,590,1180
09:50:30,590.5,1181
09:51:00,591,1182
09:51:30,591.5,1183
09:52:00,592,1184
09:52:30,592.5,1185
09:53:00,593,1186
09:53:30,593.5,1187
09:54:00,594,1188
09:54:30,594.5,1189
09:55:00,595,1190
09:55:30,595.5,1191
09:56:00,596,1192
09:56:30,596.5,1193
09:57:00,597,1194
09:57:30,597.5,1195
09:58:00,598,1196
09:58:30,598.5,1197
09:59:00,599,1198
09:59:30,599.5,1199
10:00:00,600,1200
10:00:30,600.5,1201
10:01:00,601,1202
10:01:30,601.5,1203
10:02:00,602,1204
10:02:30,602.5,1205
10:03:00,603,1206
10:03:30,603.5,1207
10:04:00,604,1208
10:04:30,604.5,1209
10:05:00,605,1210
10:05:30,605.5,1211
10:06:00,606,1212
10:06:30,606.5,1213
10:07:00,607,1214
10:07:30,607.5,1215
10:08:00,608,1216
10:08:30,608.5,1217
10:09:00,609,1218
10:09:30,609.5,1219
10:10:00,610,1220
10:10:30,610.5,1221
10:11:00,611,1222
10:11:30,611.5,1223
10:12:00,612,1224
10:12:30,612.5,1225
10:13:00,613,1226
10:13:30,613.5,1227
10:14:00,614,1228
